Location,Date,Time,Traffic_Status
Chittoor,2025-12-28,20:03,Medium
Anantapur,2025-12-11,00:47,Medium
Prakasam,2025-07-03,00:27,High
Anantapur,2025-08-23,01:52,Medium
Guntur,2025-07-24,11:21,Medium
West Godavari,2025-06-17,10:55,High
Guntur,2025-02-21,21:33,Medium
Chittoor,2025-09-03,23:39,Low
Kurnool,2025-06-24,06:58,Low
Kurnool,2025-04-12,21:14,High
East Godavari,2025-01-15,21:37,Low
Chittoor,2025-10-14,16:33,Low
Nellore,2025-01-20,06:00,Low
Chittoor,2025-02-26,22:43,Low
Chittoor,2025-06-04,15:30,Medium
Nellore,2025-09-12,13:22,Medium
YSR Kadapa,2025-09-21,03:48,Medium
Anantapur,2025-10-10,11:49,High
Krishna,2025-07-26,09:06,Medium
Anantapur,2025-02-21,19:49,Medium
Anantapur,2025-11-10,05:29,Low
Nellore,2025-03-19,08:35,High
Guntur,2025-01-11,12:53,Low
Krishna,2025-03-24,20:21,Low
East Godavari,2025-10-07,05:48,Low
Visakhapatnam,2025-04-11,20:47,Medium
Srikakulam,2025-09-01,09:16,High
YSR Kadapa,2025-01-16,23:42,Low
Chittoor,2025-09-01,19:15,Low
Vizianagaram,2025-05-04,10:40,Low
Anantapur,2025-05-25,11:29,High
Visakhapatnam,2025-10-25,11:24,High
Guntur,2025-08-11,09:50,High
Kurnool,2025-05-22,01:38,Low
Prakasam,2025-09-22,20:00,Medium
Krishna,2025-05-23,01:40,High
Kurnool,2025-02-24,12:56,Low
Nellore,2025-12-27,15:48,Low
YSR Kadapa,2025-08-23,07:07,Low
Visakhapatnam,2025-04-27,19:25,High
Prakasam,2025-12-27,18:04,Medium
Guntur,2025-06-17,17:32,Low
Anantapur,2025-03-14,15:05,Medium
Visakhapatnam,2025-01-04,06:14,Medium
West Godavari,2025-10-16,19:57,Medium
Kurnool,2025-03-16,01:35,Low
Vizianagaram,2025-11-21,16:14,High
Nellore,2025-03-26,20:20,Low
Kurnool,2025-07-04,00:26,Low
Krishna,2025-12-20,23:16,High
Prakasam,2025-10-09,02:42,Low
Visakhapatnam,2025-11-24,01:06,Low
Vizianagaram,2025-01-27,15:51,Low
Guntur,2025-04-24,10:27,Medium
Nellore,2025-06-23,09:15,Low
Kurnool,2025-04-17,22:12,High
Srikakulam,2025-05-14,05:30,Low
Visakhapatnam,2025-06-24,07:33,High
Nellore,2025-05-20,10:40,Medium
Krishna,2025-10-19,22:33,Medium
Kurnool,2025-01-04,18:46,Low
Chittoor,2025-03-27,03:28,High
Vizianagaram,2025-06-08,14:01,Medium
Srikakulam,2025-06-06,08:15,Medium
Prakasam,2025-04-15,20:32,High
Kurnool,2025-06-23,11:39,High
Kurnool,2025-05-15,14:40,High
Prakasam,2025-06-12,15:21,Low
Prakasam,2025-08-21,03:12,Low
Kurnool,2025-09-05,01:45,Medium
Prakasam,2025-10-16,02:49,Medium
Krishna,2025-11-22,22:16,Low
Chittoor,2025-06-28,07:26,High
Krishna,2025-10-18,18:59,High
Chittoor,2025-03-24,02:05,High
YSR Kadapa,2025-03-14,15:33,Medium
Anantapur,2025-09-09,15:29,Medium
Chittoor,2025-05-28,11:10,Low
Visakhapatnam,2025-08-23,13:25,Medium
Nellore,2025-08-18,08:23,Low
Guntur,2025-01-17,09:19,High
Kurnool,2025-05-11,15:16,Medium
Vizianagaram,2025-09-25,08:26,Medium
Nellore,2025-09-21,16:07,Medium
Nellore,2025-03-14,11:49,Medium
Chittoor,2025-10-08,15:48,Low
YSR Kadapa,2025-07-08,21:12,Medium
Srikakulam,2025-06-17,11:29,High
West Godavari,2025-04-03,09:32,High
Visakhapatnam,2025-10-15,12:45,High
Krishna,2025-06-27,01:09,High
Chittoor,2025-09-16,17:22,High
Krishna,2025-02-01,15:16,High
Srikakulam,2025-08-06,00:52,Medium
Vizianagaram,2025-01-01,17:48,Medium
East Godavari,2025-09-09,03:08,Low
Chittoor,2025-12-03,14:03,Medium
West Godavari,2025-07-06,22:19,Medium
East Godavari,2025-02-13,12:01,High
West Godavari,2025-10-09,07:27,Medium
Guntur,2025-04-26,02:21,Low
Anantapur,2025-05-28,07:11,Medium
West Godavari,2025-05-16,07:47,Low
Visakhapatnam,2025-01-18,03:20,Medium
Chittoor,2025-09-11,21:51,Medium
Guntur,2025-07-22,15:33,Low
Nellore,2025-06-28,19:09,High
Guntur,2025-11-02,02:57,Low
West Godavari,2025-10-14,16:55,Low
Srikakulam,2025-05-11,05:48,Medium
Anantapur,2025-11-21,08:37,Low
Visakhapatnam,2025-03-18,17:01,Medium
East Godavari,2025-06-14,16:42,High
Nellore,2025-05-06,17:15,High
West Godavari,2025-10-12,13:58,Low
Vizianagaram,2025-08-16,23:40,Low
Guntur,2025-11-21,04:27,High
East Godavari,2025-09-21,17:36,Low
Visakhapatnam,2025-04-24,12:39,Low
Vizianagaram,2025-10-15,05:22,High
West Godavari,2025-03-05,20:35,Low
Srikakulam,2025-06-07,08:21,High
Chittoor,2025-01-27,16:59,Low
Prakasam,2025-11-27,17:41,Medium
YSR Kadapa,2025-12-16,13:23,Low
West Godavari,2025-07-11,14:40,Medium
Chittoor,2025-09-28,20:16,Low
Krishna,2025-09-22,09:58,High
Kurnool,2025-08-12,13:09,Low
Prakasam,2025-05-20,05:45,Low
Guntur,2025-01-23,15:56,Medium
Anantapur,2025-05-10,10:30,Low
West Godavari,2025-07-09,03:27,Low
Vizianagaram,2025-01-06,03:07,Medium
Krishna,2025-10-19,12:01,Medium
YSR Kadapa,2025-06-23,20:15,Low
Nellore,2025-06-28,11:32,High
Krishna,2025-02-17,06:16,High
West Godavari,2025-10-17,03:53,Medium
East Godavari,2025-06-22,12:09,High
Nellore,2025-02-09,13:24,Medium
Nellore,2025-09-10,04:41,Low
Vizianagaram,2025-09-27,00:02,Medium
Chittoor,2025-07-04,14:40,Low
West Godavari,2025-11-11,18:10,Low
West Godavari,2025-10-28,09:33,High
East Godavari,2025-02-20,22:09,Medium
Visakhapatnam,2025-01-21,22:41,Low
West Godavari,2025-10-10,16:06,High
West Godavari,2025-05-03,14:38,Low
YSR Kadapa,2025-09-28,19:45,High
Visakhapatnam,2025-11-09,20:48,Medium
Kurnool,2025-01-22,17:55,Low
Vizianagaram,2025-12-12,19:27,Medium
West Godavari,2025-07-10,20:09,High
Guntur,2025-02-28,05:49,Medium
Vizianagaram,2025-01-08,07:46,High
Kurnool,2025-08-24,18:52,Low
Vizianagaram,2025-06-26,09:00,Medium
Guntur,2025-02-24,14:12,Low
Prakasam,2025-03-27,05:39,Low
Nellore,2025-04-06,03:48,Low
Guntur,2025-12-22,15:16,Medium
Prakasam,2025-12-12,04:00,Medium
Prakasam,2025-05-22,01:31,Medium
East Godavari,2025-10-15,12:33,Medium
Chittoor,2025-07-04,21:03,High
YSR Kadapa,2025-01-08,03:00,Medium
Kurnool,2025-08-19,17:58,High
Vizianagaram,2025-12-11,23:40,High
YSR Kadapa,2025-09-05,23:45,Low
Srikakulam,2025-01-24,23:57,Medium
Guntur,2025-09-02,19:21,Medium
Kurnool,2025-04-07,07:08,Medium
Prakasam,2025-06-17,14:49,High
Prakasam,2025-03-21,15:50,Medium
Nellore,2025-09-26,00:35,High
YSR Kadapa,2025-07-09,17:51,Low
Kurnool,2025-06-08,15:06,Low
YSR Kadapa,2025-10-19,14:45,Low
Anantapur,2025-01-18,18:59,Medium
Prakasam,2025-05-04,19:05,Medium
Kurnool,2025-11-02,00:51,High
Srikakulam,2025-12-25,07:42,Low
Chittoor,2025-09-11,07:05,High
Kurnool,2025-06-07,15:21,Low
Vizianagaram,2025-02-24,08:20,High
Krishna,2025-06-05,20:27,High
Krishna,2025-04-12,15:55,High
Krishna,2025-12-23,01:45,Low
Chittoor,2025-07-07,01:24,Low
West Godavari,2025-03-14,09:34,Low
YSR Kadapa,2025-02-22,07:56,Medium
Srikakulam,2025-02-11,03:10,Low
Chittoor,2025-06-03,11:28,Low
Anantapur,2025-07-04,09:25,High
Guntur,2025-04-09,19:49,High
Krishna,2025-05-26,23:12,High
Prakasam,2025-12-11,19:41,Low
Chittoor,2025-12-10,18:31,Low
Guntur,2025-07-11,02:01,High
Guntur,2025-05-25,11:38,Low
Guntur,2025-01-15,15:21,Low
YSR Kadapa,2025-06-01,17:02,High
Prakasam,2025-12-20,13:02,High
Srikakulam,2025-05-13,12:07,Medium
Guntur,2025-12-07,23:45,Medium
Kurnool,2025-04-21,06:31,Medium
East Godavari,2025-07-20,07:22,High
Kurnool,2025-09-12,16:26,High
Krishna,2025-11-13,19:07,Low
Krishna,2025-10-27,20:17,Low
Chittoor,2025-03-12,01:34,Low
Anantapur,2025-05-03,17:20,Medium
West Godavari,2025-05-19,20:26,Medium
Prakasam,2025-01-10,06:05,Low
Prakasam,2025-08-07,22:48,Medium
Chittoor,2025-11-01,08:39,Low
Guntur,2025-03-18,21:38,Medium
Anantapur,2025-11-12,15:15,Medium
Anantapur,2025-12-05,14:48,High
Kurnool,2025-01-03,00:31,High
Srikakulam,2025-11-09,13:15,Low
Srikakulam,2025-12-28,04:59,Low
Anantapur,2025-06-21,23:37,Medium
Prakasam,2025-10-24,23:24,High
Guntur,2025-08-19,18:00,High
YSR Kadapa,2025-08-26,07:38,Medium
Nellore,2025-12-10,22:53,High
West Godavari,2025-05-06,06:46,High
West Godavari,2025-04-27,19:06,Medium
West Godavari,2025-12-14,00:36,Low
West Godavari,2025-02-23,22:29,Medium
YSR Kadapa,2025-01-26,14:57,High
Visakhapatnam,2025-12-03,16:20,Medium
Prakasam,2025-03-14,21:07,Low
Visakhapatnam,2025-04-08,21:00,Low
Visakhapatnam,2025-02-27,02:45,Medium
Anantapur,2025-04-27,13:32,High
Anantapur,2025-03-11,23:57,Medium
Visakhapatnam,2025-11-15,02:45,Low
Krishna,2025-10-21,07:33,High
Guntur,2025-08-04,08:46,Low
Vizianagaram,2025-02-02,05:04,Low
Kurnool,2025-05-27,21:07,Medium
Guntur,2025-06-02,09:13,Medium
Visakhapatnam,2025-10-04,11:08,High
Prakasam,2025-02-10,12:18,High
Nellore,2025-06-02,03:52,High
Krishna,2025-02-20,21:43,Low
Anantapur,2025-11-10,16:32,Medium
East Godavari,2025-06-03,07:40,Medium
Kurnool,2025-02-03,09:59,High
Krishna,2025-05-10,00:58,High
West Godavari,2025-09-24,01:00,Low
Chittoor,2025-08-23,06:49,High
East Godavari,2025-05-15,02:22,High
Krishna,2025-07-27,02:02,Low
YSR Kadapa,2025-09-03,08:02,Low
Kurnool,2025-03-22,08:35,Low
West Godavari,2025-02-09,03:47,High
Kurnool,2025-05-16,06:36,Low
Visakhapatnam,2025-09-18,08:50,Low
Anantapur,2025-02-16,01:02,Medium
East Godavari,2025-12-27,12:59,Medium
Guntur,2025-06-03,00:30,Low
Nellore,2025-09-10,18:36,High
Kurnool,2025-11-06,00:35,Low
Krishna,2025-12-04,09:36,Medium
Vizianagaram,2025-03-09,21:57,Medium
Visakhapatnam,2025-02-12,05:50,Medium
Srikakulam,2025-11-05,14:03,High
YSR Kadapa,2025-09-28,01:54,Low
Vizianagaram,2025-10-19,16:37,Medium
Guntur,2025-01-06,10:23,High
Guntur,2025-12-13,07:04,Low
Krishna,2025-03-27,13:52,Medium
East Godavari,2025-07-12,20:17,Low
Anantapur,2025-07-04,13:55,Medium
Krishna,2025-11-21,08:32,High
Guntur,2025-12-11,01:38,Low
East Godavari,2025-01-03,03:57,Medium
Prakasam,2025-03-09,18:58,Medium
Vizianagaram,2025-11-02,22:16,Low
YSR Kadapa,2025-11-05,05:17,Low
West Godavari,2025-09-03,05:03,Low
Vizianagaram,2025-08-04,16:25,High
Chittoor,2025-10-07,07:55,Low
Kurnool,2025-02-06,06:15,Medium
Visakhapatnam,2025-05-14,12:34,Low
Vizianagaram,2025-12-27,10:56,High
East Godavari,2025-03-24,21:57,Low
West Godavari,2025-12-23,06:02,High
Krishna,2025-02-13,15:37,Medium
Srikakulam,2025-05-14,18:21,Low
Anantapur,2025-08-14,22:20,Low
Srikakulam,2025-05-15,05:25,Medium
Kurnool,2025-01-27,08:26,Medium
YSR Kadapa,2025-08-10,04:58,Medium
Anantapur,2025-05-25,06:05,Low
Guntur,2025-12-10,21:14,Medium
YSR Kadapa,2025-05-24,01:16,Medium
Vizianagaram,2025-04-16,19:53,Low
Guntur,2025-11-13,19:53,Medium
West Godavari,2025-07-09,21:07,Medium
Anantapur,2025-02-22,22:31,High
West Godavari,2025-05-06,19:54,Medium
Srikakulam,2025-09-17,10:22,High
Visakhapatnam,2025-12-18,22:23,Low
Visakhapatnam,2025-09-07,12:50,Low
Kurnool,2025-11-27,23:15,Medium
Srikakulam,2025-02-20,07:05,Low
Guntur,2025-12-21,01:30,Low
YSR Kadapa,2025-08-18,21:39,High
YSR Kadapa,2025-09-15,13:42,Low
YSR Kadapa,2025-09-01,00:09,Low
Visakhapatnam,2025-11-01,18:09,Medium
Vizianagaram,2025-06-22,13:16,Low
Prakasam,2025-04-05,00:52,Medium
Nellore,2025-01-10,03:13,Medium
East Godavari,2025-05-06,19:34,Low
Kurnool,2025-11-11,09:57,High
Nellore,2025-02-06,11:42,Low
Visakhapatnam,2025-04-02,02:04,High
Anantapur,2025-04-08,11:35,High
Krishna,2025-04-03,21:01,High
Prakasam,2025-02-09,20:44,Low
YSR Kadapa,2025-02-20,01:15,Low
East Godavari,2025-10-06,22:50,Low
East Godavari,2025-01-14,03:46,Medium
YSR Kadapa,2025-01-06,20:36,Low
Chittoor,2025-03-11,17:08,Medium
Vizianagaram,2025-05-26,14:33,High
Srikakulam,2025-08-18,08:09,Medium
Anantapur,2025-11-04,09:37,Low
YSR Kadapa,2025-12-09,18:27,Low
East Godavari,2025-11-07,04:19,Medium
East Godavari,2025-04-19,00:01,Low
Prakasam,2025-04-25,23:22,Medium
Visakhapatnam,2025-08-28,01:27,High
Guntur,2025-08-16,13:16,Medium
Visakhapatnam,2025-12-27,00:24,Medium
East Godavari,2025-11-19,10:00,Medium
Krishna,2025-07-21,15:25,Medium
Guntur,2025-12-10,02:03,Low
Nellore,2025-04-02,16:32,High
Nellore,2025-11-12,14:35,High
Chittoor,2025-12-02,02:26,Medium
Chittoor,2025-04-17,05:48,Low
East Godavari,2025-04-04,03:34,Low
East Godavari,2025-06-10,01:28,High
Kurnool,2025-11-20,12:07,Medium
YSR Kadapa,2025-03-17,15:33,High
Visakhapatnam,2025-05-04,17:33,Medium
Kurnool,2025-03-02,22:36,Medium
Guntur,2025-07-01,19:49,Medium
Anantapur,2025-08-08,06:37,Low
Vizianagaram,2025-08-09,02:16,Medium
Krishna,2025-02-05,23:39,High
Nellore,2025-07-02,17:28,Low
Anantapur,2025-10-02,09:04,Medium
Krishna,2025-12-16,16:54,High
Visakhapatnam,2025-04-09,10:51,Medium
Srikakulam,2025-07-14,10:58,Medium
Anantapur,2025-12-23,16:21,Medium
Visakhapatnam,2025-05-21,20:09,Medium
Chittoor,2025-05-10,04:29,Low
Krishna,2025-02-26,18:24,High
East Godavari,2025-01-27,11:32,High
Nellore,2025-10-03,06:07,High
Visakhapatnam,2025-08-06,03:46,Medium
Vizianagaram,2025-05-27,16:34,Medium
Nellore,2025-06-01,13:51,Medium
Guntur,2025-11-04,06:06,High
Chittoor,2025-08-27,10:01,Low
Chittoor,2025-12-09,19:06,Low
Nellore,2025-08-10,14:53,Medium
Guntur,2025-10-14,17:34,High
Anantapur,2025-02-16,14:22,Medium
Krishna,2025-07-17,13:13,Low
East Godavari,2025-10-07,19:05,Medium
Prakasam,2025-11-01,09:55,High
Nellore,2025-11-14,23:16,Medium
Prakasam,2025-11-20,17:18,High
West Godavari,2025-11-07,17:36,Low
Prakasam,2025-02-27,14:36,Medium
Visakhapatnam,2025-02-24,19:24,Medium
Srikakulam,2025-02-25,19:07,High
Kurnool,2025-06-13,20:11,Medium
East Godavari,2025-06-21,22:58,Low
West Godavari,2025-10-13,05:58,Medium
West Godavari,2025-02-26,21:28,High
Visakhapatnam,2025-10-27,13:54,Medium
Guntur,2025-05-13,02:07,Medium
Visakhapatnam,2025-07-09,07:37,Medium
Visakhapatnam,2025-09-03,18:13,High
Guntur,2025-10-24,15:59,Low
Guntur,2025-05-04,02:23,Low
East Godavari,2025-03-23,20:24,Low
Chittoor,2025-07-03,01:28,Medium
Chittoor,2025-03-16,18:24,High
Vizianagaram,2025-09-17,17:15,High
Guntur,2025-09-07,17:53,Medium
Krishna,2025-04-21,02:12,High
Vizianagaram,2025-02-10,01:53,Medium
Srikakulam,2025-02-28,16:45,Medium
Vizianagaram,2025-05-02,16:33,Medium
Visakhapatnam,2025-02-01,02:09,Medium
YSR Kadapa,2025-09-20,23:45,High
Kurnool,2025-01-06,02:36,Medium
Krishna,2025-01-03,02:59,High
Srikakulam,2025-09-13,18:27,Medium
Kurnool,2025-10-10,16:20,Medium
East Godavari,2025-05-01,13:05,Low
Nellore,2025-12-18,10:08,Medium
Kurnool,2025-05-26,12:34,Low
Vizianagaram,2025-02-28,10:56,Medium
YSR Kadapa,2025-06-23,12:26,High
Anantapur,2025-06-18,10:07,Medium
Guntur,2025-05-11,00:39,Medium
Prakasam,2025-04-05,23:54,Medium
YSR Kadapa,2025-01-14,18:05,High
Anantapur,2025-04-28,17:59,Medium
Prakasam,2025-11-04,05:12,Low
Srikakulam,2025-09-12,16:37,Low
Anantapur,2025-07-03,06:24,Low
Nellore,2025-04-19,13:36,Medium
Guntur,2025-04-03,17:54,High
Vizianagaram,2025-07-01,09:39,High
Kurnool,2025-07-10,02:58,Low
Prakasam,2025-03-28,01:32,Medium
Nellore,2025-04-09,20:55,High
Anantapur,2025-03-04,05:32,High
Srikakulam,2025-07-03,08:21,High
Srikakulam,2025-08-09,03:21,Low
Prakasam,2025-11-11,17:28,Low
Krishna,2025-10-02,08:10,High
YSR Kadapa,2025-03-06,05:50,Low
Vizianagaram,2025-03-10,16:32,Medium
Nellore,2025-02-16,07:54,High
Nellore,2025-09-19,10:46,High
Vizianagaram,2025-03-14,20:12,High
Kurnool,2025-12-03,15:00,Medium
Nellore,2025-03-15,17:12,Low
Guntur,2025-01-20,17:17,Low
West Godavari,2025-05-28,03:13,Low
Vizianagaram,2025-06-22,17:54,Medium
Vizianagaram,2025-05-10,03:41,Medium
Nellore,2025-03-20,14:22,High
YSR Kadapa,2025-03-03,23:30,Medium
Vizianagaram,2025-05-28,05:11,Low
Vizianagaram,2025-02-07,22:18,High
Krishna,2025-03-06,12:13,Low
West Godavari,2025-03-22,00:18,Medium
Guntur,2025-10-10,03:30,Low
Krishna,2025-12-12,03:38,Medium
Guntur,2025-05-16,12:58,Medium
Krishna,2025-03-10,01:35,High
Srikakulam,2025-12-25,16:27,Medium
Prakasam,2025-05-27,16:01,Medium
Guntur,2025-03-27,10:32,High
Vizianagaram,2025-09-27,22:56,High
East Godavari,2025-06-21,04:46,High
Visakhapatnam,2025-12-16,12:07,High
Prakasam,2025-06-19,05:28,Low
YSR Kadapa,2025-10-26,13:33,Medium
Kurnool,2025-11-08,19:24,High
Srikakulam,2025-01-06,17:18,Medium
Chittoor,2025-04-27,19:17,High
Prakasam,2025-08-24,20:56,High
Anantapur,2025-11-03,15:52,Low
Srikakulam,2025-05-03,07:48,High
Chittoor,2025-06-21,02:54,Low
Chittoor,2025-03-16,22:55,Medium
Nellore,2025-06-27,06:23,High
West Godavari,2025-01-02,23:15,Medium
Prakasam,2025-08-23,18:08,Medium
West Godavari,2025-05-03,02:10,Low
Krishna,2025-05-20,14:05,Low
YSR Kadapa,2025-06-27,18:15,High
Kurnool,2025-03-17,23:34,Low
Nellore,2025-07-23,19:27,High
West Godavari,2025-03-03,06:04,Low
Prakasam,2025-05-05,01:42,Low
Guntur,2025-11-04,23:19,Medium
West Godavari,2025-03-23,10:43,Low
East Godavari,2025-02-01,09:20,Medium
Nellore,2025-11-01,18:45,High
Vizianagaram,2025-04-02,20:57,Low
Visakhapatnam,2025-02-21,21:52,Low
YSR Kadapa,2025-05-22,19:26,Medium
Kurnool,2025-03-27,20:08,Low
YSR Kadapa,2025-07-14,04:17,Medium
Vizianagaram,2025-01-08,02:25,Medium
Prakasam,2025-11-01,01:35,Low
Anantapur,2025-02-02,17:22,Low
Vizianagaram,2025-06-14,22:25,Medium
Guntur,2025-05-14,04:32,Medium
YSR Kadapa,2025-05-11,11:48,Low
Kurnool,2025-01-16,17:41,High
Kurnool,2025-11-10,14:35,Medium
Prakasam,2025-05-13,10:05,Low
Chittoor,2025-07-25,22:01,Low
Kurnool,2025-07-06,02:28,Medium
Guntur,2025-07-08,06:26,Low
Prakasam,2025-01-16,13:26,Low
Anantapur,2025-11-21,07:58,High
East Godavari,2025-09-28,02:31,Low
Kurnool,2025-04-17,04:55,Medium
Srikakulam,2025-08-03,13:45,High
Nellore,2025-10-27,18:50,Low
Krishna,2025-07-17,19:01,High
Nellore,2025-09-19,11:27,Low
Nellore,2025-02-14,18:19,Low
Anantapur,2025-05-08,14:12,High
Prakasam,2025-07-28,15:00,Low
Kurnool,2025-02-01,09:33,High
YSR Kadapa,2025-09-26,01:17,Low
Anantapur,2025-10-25,05:34,High
YSR Kadapa,2025-10-15,09:53,High
Nellore,2025-02-10,00:53,High
Kurnool,2025-10-04,07:35,Medium
Visakhapatnam,2025-02-14,16:06,Low
Vizianagaram,2025-03-19,03:09,Low
West Godavari,2025-01-08,19:23,Medium
Chittoor,2025-03-18,06:30,Low
Kurnool,2025-08-18,07:52,Medium
Kurnool,2025-03-09,11:41,High
Anantapur,2025-01-12,07:08,Low
Guntur,2025-10-22,03:24,High
Nellore,2025-09-23,08:25,Medium
Visakhapatnam,2025-04-10,06:12,Medium
Krishna,2025-11-14,15:04,Low
Krishna,2025-05-09,12:28,Low
Anantapur,2025-09-14,18:15,High
Nellore,2025-07-11,11:06,High
Srikakulam,2025-12-21,17:13,Low
Visakhapatnam,2025-06-19,05:19,High
Vizianagaram,2025-02-05,05:15,Medium
Vizianagaram,2025-05-28,01:01,High
Prakasam,2025-07-11,20:39,Low
Chittoor,2025-03-17,12:53,High
Visakhapatnam,2025-03-20,14:10,Medium
YSR Kadapa,2025-07-09,05:32,High
Vizianagaram,2025-07-15,15:26,High
Guntur,2025-05-19,20:36,High
Kurnool,2025-01-26,19:07,Medium
Chittoor,2025-01-02,15:31,High
West Godavari,2025-12-13,12:34,High
Prakasam,2025-02-19,19:11,Medium
Prakasam,2025-10-28,19:35,Low
Guntur,2025-05-20,13:11,Medium
YSR Kadapa,2025-03-27,03:30,Medium
West Godavari,2025-10-27,16:22,High
Anantapur,2025-01-23,00:36,Medium
West Godavari,2025-12-11,08:03,Low
Anantapur,2025-11-12,17:49,Low
Nellore,2025-05-02,19:49,High
Anantapur,2025-09-25,22:48,High
Nellore,2025-02-24,21:35,Low
Nellore,2025-10-19,09:16,Low
Prakasam,2025-11-01,06:41,Low
Visakhapatnam,2025-07-08,17:51,Medium
Krishna,2025-07-22,04:29,Medium
Kurnool,2025-11-21,02:00,Low
Kurnool,2025-04-14,17:59,Medium
East Godavari,2025-05-07,00:59,Medium
Visakhapatnam,2025-10-19,21:44,Medium
YSR Kadapa,2025-08-14,00:02,Low
Vizianagaram,2025-01-05,20:32,Low
Chittoor,2025-09-17,06:14,Low
Visakhapatnam,2025-04-14,11:57,High
Visakhapatnam,2025-09-15,07:03,Medium
Visakhapatnam,2025-06-03,09:53,Medium
YSR Kadapa,2025-07-14,18:26,Medium
Guntur,2025-12-10,00:41,High
Kurnool,2025-06-17,13:00,High
Anantapur,2025-10-20,09:42,High
Kurnool,2025-04-04,12:12,High
Chittoor,2025-06-26,18:03,Low
Visakhapatnam,2025-07-06,07:28,Low
Kurnool,2025-02-07,09:35,Medium
Visakhapatnam,2025-08-17,12:31,High
East Godavari,2025-10-10,07:55,Low
West Godavari,2025-12-02,20:16,Medium
Srikakulam,2025-05-05,15:56,Low
Visakhapatnam,2025-01-16,19:03,Low
West Godavari,2025-12-01,15:27,Medium
East Godavari,2025-12-22,14:14,Medium
Vizianagaram,2025-11-11,14:36,Medium
Vizianagaram,2025-03-24,15:23,Low
Krishna,2025-05-24,04:42,High
YSR Kadapa,2025-11-26,17:58,High
Krishna,2025-04-10,18:18,Medium
Prakasam,2025-12-26,15:08,High
Srikakulam,2025-09-10,21:18,Low
Nellore,2025-10-17,21:45,Low
Anantapur,2025-06-15,09:59,Medium
Nellore,2025-11-08,20:01,Low
Nellore,2025-04-01,15:31,Low
Guntur,2025-03-12,17:09,Medium
Kurnool,2025-06-26,13:17,Low
Srikakulam,2025-05-12,06:55,Low
Guntur,2025-05-19,13:22,High
Guntur,2025-11-24,23:05,High
Nellore,2025-01-12,02:24,Low
Visakhapatnam,2025-08-26,03:56,Low
YSR Kadapa,2025-08-22,15:28,High
Guntur,2025-02-19,23:01,High
Anantapur,2025-04-14,08:23,High
Nellore,2025-09-25,17:02,Medium
Chittoor,2025-05-21,02:47,Medium
Vizianagaram,2025-10-18,18:43,Low
West Godavari,2025-05-16,03:17,Low
YSR Kadapa,2025-06-16,07:02,Low
Vizianagaram,2025-09-15,23:44,Low
Prakasam,2025-10-26,12:04,Medium
Krishna,2025-06-08,08:17,Low
Chittoor,2025-03-01,01:21,High
Vizianagaram,2025-06-17,06:17,High
Vizianagaram,2025-08-09,03:29,Medium
Anantapur,2025-04-04,03:50,High
Nellore,2025-04-10,15:18,High
Krishna,2025-03-10,07:26,Medium
Kurnool,2025-12-21,15:46,High
Kurnool,2025-07-22,15:33,High
Srikakulam,2025-02-02,23:29,Low
Nellore,2025-02-22,13:49,Low
Krishna,2025-06-13,14:48,Low
Srikakulam,2025-07-24,00:13,Low
Chittoor,2025-12-09,05:01,High
Krishna,2025-11-01,16:36,High
Kurnool,2025-03-08,09:35,Medium
Chittoor,2025-05-08,15:15,Low
Chittoor,2025-09-04,09:58,Low
Chittoor,2025-11-15,18:20,Low
West Godavari,2025-06-27,00:17,High
Prakasam,2025-01-26,08:57,Low
Chittoor,2025-03-28,05:08,Medium
Nellore,2025-05-02,05:48,High
Guntur,2025-12-16,20:22,Medium
Vizianagaram,2025-07-21,20:46,Low
East Godavari,2025-07-28,20:05,Medium
Krishna,2025-11-23,00:54,High
East Godavari,2025-04-06,16:07,Medium
Prakasam,2025-03-25,06:50,Low
Nellore,2025-05-05,12:26,Low
Kurnool,2025-07-07,18:24,Low
Anantapur,2025-07-23,15:17,Medium
East Godavari,2025-12-07,06:33,High
Chittoor,2025-11-19,04:44,Medium
Guntur,2025-06-19,09:38,Low
Visakhapatnam,2025-05-04,20:25,High
East Godavari,2025-01-10,21:29,Low
East Godavari,2025-12-08,20:44,Medium
Prakasam,2025-08-11,05:46,High
Kurnool,2025-09-26,09:11,High
Visakhapatnam,2025-01-05,14:28,Low
YSR Kadapa,2025-07-28,14:32,Low
West Godavari,2025-07-25,19:05,High
Nellore,2025-04-03,11:02,Low
East Godavari,2025-08-17,15:06,High
Prakasam,2025-05-06,22:57,Low
Krishna,2025-04-28,10:31,High
Kurnool,2025-10-27,04:51,Low
Srikakulam,2025-04-05,14:26,Medium
West Godavari,2025-08-17,06:33,High
Prakasam,2025-03-25,10:15,High
Kurnool,2025-04-01,21:07,High
East Godavari,2025-06-23,05:37,Low
Visakhapatnam,2025-09-09,02:22,Low
Srikakulam,2025-10-21,06:20,Medium
Prakasam,2025-10-04,19:06,High
Prakasam,2025-06-18,07:37,High
East Godavari,2025-06-19,02:49,High
Vizianagaram,2025-10-12,16:16,Low
Visakhapatnam,2025-01-12,04:07,Low
West Godavari,2025-07-24,11:04,Medium
Krishna,2025-09-06,23:25,Low
Kurnool,2025-10-08,17:01,Low
Srikakulam,2025-06-23,20:02,Medium
Nellore,2025-03-23,05:23,Low
East Godavari,2025-07-28,13:40,Low
